dam_id,dam_name,capacity_mcm,c,b,source
id_030008,Amirah,0.321215,0.007180521877791272,1.5062817356266887,srtm_derived
id_030009,Nakhala,0.428903,0.8142925222094536,1.1,srtm_derived
id_030010,Al-Shara'ih,0.88,0.00543424956762245,1.5026003194541533,srtm_derived
id_030011,Al-Farah,1.0,0.044376896892170434,1.3247065345380797,srtm_derived
id_030012,Al-Ghab,1.0,0.0020135045147080034,1.5558517322403753,regi_multi
id_030014,Talal,1.204388,0.1420167109643526,1.2055584903846204,srtm_derived
id_030015,Tasha,2.0,0.0007474981194232019,1.6369781012678999,srtm_derived
id_030016,Al-Aqiq Al-A'lah,2.0,0.0007494734928314785,1.6931516782709666,srtm_derived
id_030017,Bidan,2.2,0.049798703765026126,1.268235565428983,srtm_derived
id_030018,Malal,3.0,0.0018141794571840683,1.5558517322403753,srtm_derived
id_030019,Al-Murabah,1.318125,0.003915473877013007,1.484831447353994,srtm_derived
id_030020,Rim,2.9185,0.00011414139534307752,1.7482473021639122,srtm_derived
id_030021,Wasat Al-Jazl,10.0,0.0047672584697299155,1.4786741842547872,srtm_derived
id_030022,Al-Aqul,1.0,0.05862255399795845,1.3484507021842405,srtm_derived
id_030023,Am Talhah,0.707141,0.00772548848951762,1.4750841571495261,srtm_derived
id_030024,Al-Hanaw,0.141435,0.00028697432069559807,1.8281353511360567,srtm_derived
id_030025,Ashar,0.284355,0.006017567314681703,1.5558517322403753,regi_multi
id_030026,Khalis,0.348682,0.0037301347485769586,1.5558517322403753,regi_multi
id_030027,Al-Sadr,0.373593,0.00630716788245488,1.5558517322403753,regi_multi
id_030028,Ajathaliyah,0.440769,0.510674866878973,1.1,srtm_derived
id_030029,Dhalamah,1.0,0.009131795721707567,1.4475541560244967,srtm_derived
id_030030,Bathan,0.5,0.05303843567300942,1.3119475721527663,srtm_derived
id_030031,Al-Muqarran,0.854322,0.0039120774355037415,1.5558517322403753,regi_multi
id_030032,Qasibah,0.3,0.020007379864089073,1.402582889080437,srtm_derived
id_030033,Ahamir,0.848721,0.0182959880729558,1.365357920222001,srtm_derived
id_030034,Al-Tar'ah,2.0,0.10818964353767277,1.2767540555041765,srtm_derived
id_030035,Al-Far'ah,20.0,0.178015112809606,1.1963415782860065,srtm_derived
id_030036,Hadhawadha,40.0,0.0010216789205791882,1.5558517322403753,regi_multi
id_030037,Qusayba' Al-Tad'imi,0.224127,0.0026460293035373643,1.5558517322403753,regi_multi
id_030038,Al-Hasid,0.4,0.7650985094385154,1.1054876120568282,srtm_derived
id_030039,Al-Aqul Al-Hajari,17.0,0.0017793357197207857,1.5558517322403753,regi_multi
id_040000,Aba Al-Hiyas,0.079473,0.009159916053643037,1.5558517322403753,regi_multi
id_040001,Al-Rubiqah,0.112151,0.0012377013241785468,1.5558517322403753,regi_multi
id_040002,Al-Matla' Al-Aysar,0.122678,0.00495557562168268,1.5558517322403753,regi_multi
