dam_id,dam_name,dam_name_arabic,latitude,longitude,region,governorate,watershed_basin,watershed_basin_2,dam_type,status,primary_purpose,current_purpose,dam_length_m,dam_height_m,spillway_height_m,storage_capacity_m3,construction_year
id_110005,Al-Nakhalah,ام نخلة,31.215833,37.371111,Al-Jawf,Al-Qurayat,Wadi Al-Sirhan Basin,,earthfill,completed,flood_control,protection,180.0,6.8,4.5,600000,2010
id_110006,Bair,باير,31.161667,37.481944,Al-Jawf,Al-Qurayat,Wadi Al-Sirhan Basin,,earthfill,completed,flood_control,protection,375.0,6.0,4.5,1250000,1999
id_110007,Hasidah Al-Gharbiyah,حصيدة الغربية,31.423056,37.247222,Al-Jawf,Al-Qurayat,Wadi Al-Sirhan Basin,,earthfill,completed,flood_control,protection,450.0,7.5,6.0,1300000,2001
id_110008,Sarmadah,سرمداء,31.039021,37.612829,Al-Jawf,Al-Qurayat,Wadi Al-Sirhan Basin,,earthfill,completed,flood_control,protection,420.0,3.3,2.0,2284600,2007
id_110009,Hasidah Al-Sharqiyah,حصيدة الشرقية,31.244167,37.353333,Al-Jawf,Al-Qurayat,Wadi Al-Sirhan Basin,,earthfill,completed,flood_control,protection,775.0,6.5,5.0,2600000,1999
id_110010,Al-Marir,المرير,30.049444,39.913889,Al-Jawf,Sakaka,Wadi Arar Basin,,concrete,completed,protection,protection,153.0,14.0,12.0,1194257,2019
id_120000,Baish,بيش,17.665556,42.6575,Jazan,Al-Raith,Wadi Al-Dawasir Basin,rainfall_area,concrete,completed,recharge,drinking_water,340.0,73.0,61.0,198072000,2009
id_120002,Jazan,جازان,17.048889,42.957222,Jazan,Abu Arish,Wadi Al-Dawasir Basin,rainfall_area,concrete,completed,recharge,drinking_water,316.0,39.7,31.5,54200000,1970
id_120003,Damad,ضمد,17.198611,42.988056,Jazan,Al-Idabi,Wadi Al-Dawasir Basin,rainfall_area,concrete,completed,recharge,drinking_water,610.0,42.0,35.0,55500000,2009
id_120005,Qasi,قسي,17.19179,42.878304,Jazan,Damad,Wadi Al-Dawasir Basin,rainfall_area,rockfill,completed,recharge,recharge,1044.0,25.0,22.5,15100000,2018
id_120006,Shab Maghawarah,شعب مغوره,17.332222,43.255278,Jazan,Al-Zaydan Al-Dhair,Wadi Al-Dawasir Basin,rainfall_area,concrete,completed,recharge,recharge,92.5,16.0,13.0,98000,2008
id_120007,Lajab (Bashimah),لجب (بشيمة),17.573889,42.975833,Jazan,Al-Raith,Wadi Al-Dawasir Basin,rainfall_area,earthfill,completed,recharge,protection,170.0,7.0,5.0,23413,2009
id_120008,Al-Madirah,المديرة,17.306389,43.262222,Jazan,Al-Zaydan Al-Dhair,Wadi Al-Dawasir Basin,rainfall_area,concrete,completed,recharge,recharge,103.0,14.0,11.0,157000,2008
id_120009,Amud,عمود,17.5525,43.011389,Jazan,Al-Raith,Wadi Al-Dawasir Basin,rainfall_area,earthfill,completed,recharge,drinking_water,178.0,13.5,10.0,84957,2012
id_120010,Al-Raith,الريث,17.614971,42.826909,Jazan,Al-Raith,Wadi Al-Dawasir Basin,rainfall_area,earthfill,completed,recharge,protection,85.0,13.0,10.0,180000,1999
id_120011,Qurah,قرى,17.511111,42.728889,Jazan,Al-Raith,Wadi Al-Dawasir Basin,rainfall_area,concrete,completed,recharge,recharge,199.82,26.0,23.0,985954,2010
id_120012,Wasah,وساع,17.402222,42.831111,Jazan,Sabya,Wadi Al-Dawasir Basin,rainfall_area,concrete,completed,recharge,recharge,132.0,25.0,22.0,1500000,2009
id_120013,Wa'al,وعال,17.496944,42.746667,Jazan,Harub,Wadi Al-Dawasir Basin,rainfall_area,concrete,completed,recharge,protection,197.0,16.0,14.0,1016800,2009
id_120014,Shahdan,شهدان,17.454776,42.736093,Jazan,Sabya,Wadi Al-Dawasir Basin,rainfall_area,concrete,completed,recharge,recharge,689.0,40.0,35.0,2500000,
id_120015,Am Khabarah,ام خباره,16.704156,43.139789,Jazan,Samtah,Wadi Al-Dawasir Basin,rainfall_area,earthfill,completed,recharge,recharge,70.0,10.0,8.5,150000,1997
id_130000,Najran,نجران,17.408056,44.014167,Najran,Najran,Rub Al-Khali Basin,,concrete,completed,recharge,drinking_water,274.0,60.0,45.0,86000000,1979
id_130002,Aratad,ارتاد,18.226944,43.8275,Najran,Thar,Rub Al-Khali Basin,,concrete,completed,recharge,protection,140.0,8.0,6.0,79700,2009
